x,Y,Z
-1340.365967,-53.124001,195.339946
-1340.365967,-38.124001,165.798436
-1340.365967,-23.124001,166.087548
-1340.365967,-8.124001,136.522213
-1340.365967,6.875999,130.621302
-1340.365967,21.875999,117.011067
-1340.365967,36.875999,137.102967
-1340.365967,51.875999,108.043889
-1340.365967,66.875999,178.854071
-1340.365967,81.875999,134.902390
-1340.365967,96.875999,171.852352
-1340.365967,111.875999,156.613707
-1340.365967,126.875999,152.660626
-1340.365967,141.875999,157.900032
-1340.365967,156.875999,92.885282
-1340.365967,171.875999,170.846519
-1340.365967,186.875999,150.541593
-1340.365967,201.875999,167.856317
-1340.365967,216.875999,154.974683
-1340.365967,231.875999,148.629550
-1340.365967,246.875999,139.436205
-1340.365967,261.875999,135.838049
-1340.365967,276.875999,137.923136
-1340.365967,291.875999,131.505172
-1340.365967,306.875999,129.872836
-1340.365967,321.875999,110.824545
-1340.365967,336.875999,100.475982
-1340.365967,351.875999,95.972791
-1340.365967,366.875999,90.209295
-1340.365967,381.875999,87.191134
-1340.365967,396.875999,87.042742
-1340.365967,411.875999,88.347462
-1340.365967,426.875999,88.688051
-1340.365967,441.875999,87.255188
-1340.365967,456.875999,90.697944
-1340.365967,471.875999,95.155819
-1340.365967,486.875999,100.848765
-1340.365967,501.875999,101.894008
-1340.365967,516.875999,104.343908
-1340.365967,531.875999,108.960357
-1340.365967,546.875999,118.098840
-1340.365967,561.875999,121.203137
-1340.365967,576.875999,130.955409
-1340.365967,591.875999,136.553594
-1340.365967,606.875999,139.827141
-1340.365967,621.875999,140.159033
-1340.365967,636.875999,143.988172
-1340.365967,651.875999,145.933226
-1340.365967,666.875999,148.644870
-1340.365967,681.875999,145.174312
-1340.365967,696.875999,164.251321
-1340.365967,711.875999,163.908427
-1340.365967,726.875999,186.283649
-1340.365967,741.875999,163.597206
-1340.365967,756.875999,164.171039
-1325.365967,-53.124001,191.950586
-1325.365967,-38.124001,187.476815
-1325.365967,-23.124001,189.266999
-1325.365967,-8.124001,185.432106
-1325.365967,6.875999,177.659239
-1325.365967,21.875999,177.548765
-1325.365967,36.875999,196.662494
-1325.365967,51.875999,175.301197
-1325.365967,66.875999,173.743360
-1325.365967,81.875999,174.856408
-1325.365967,96.875999,176.413989
-1325.365967,111.875999,182.346452
-1325.365967,126.875999,185.491714
-1325.365967,141.875999,188.039289
-1325.365967,156.875999,178.767860
-1325.365967,171.875999,175.097688
-1325.365967,186.875999,174.632409
-1325.365967,201.875999,170.515806
-1325.365967,216.875999,168.555777
-1325.365967,231.875999,168.630393
-1325.365967,246.875999,157.933151
-1325.365967,261.875999,151.411136
-1325.365967,276.875999,138.827464
-1325.365967,291.875999,125.278361
-1325.365967,306.875999,114.762576
-1325.365967,321.875999,103.567362
-1325.365967,336.875999,100.334857
-1325.365967,351.875999,99.720828
-1325.365967,366.875999,91.400091
-1325.365967,381.875999,86.203218
-1325.365967,396.875999,87.700644
-1325.365967,411.875999,88.134921
-1325.365967,426.875999,88.279052
-1325.365967,441.875999,88.938098
-1325.365967,456.875999,91.297062
-1325.365967,471.875999,96.762910
-1325.365967,486.875999,103.686213
-1325.365967,501.875999,103.485022
-1325.365967,516.875999,107.960750
-1325.365967,531.875999,111.850825
-1325.365967,546.875999,117.550643
-1325.365967,561.875999,120.570298
-1325.365967,576.875999,121.403918
-1325.365967,591.875999,124.523921
-1325.365967,606.875999,129.603468
-1325.365967,621.875999,138.356630
-1325.365967,636.875999,140.395175
-1325.365967,651.875999,145.259064
-1325.365967,666.875999,146.112249
-1325.365967,681.875999,150.587135
-1325.365967,696.875999,159.222355
-1325.365967,711.875999,162.457249
-1325.365967,726.875999,168.528725
-1325.365967,741.875999,178.580973
-1325.365967,756.875999,172.074397
-1310.365967,-53.124001,193.668561
-1310.365967,-38.124001,196.447028
-1310.365967,-23.124001,194.933398
-1310.365967,-8.124001,195.668617
-1310.365967,6.875999,189.599391
-1310.365967,21.875999,182.449872
-1310.365967,36.875999,182.032719
-1310.365967,51.875999,176.943598
-1310.365967,66.875999,180.560179
-1310.365967,81.875999,177.302254
-1310.365967,96.875999,183.080967
-1310.365967,111.875999,179.112985
-1310.365967,126.875999,185.987559
-1310.365967,141.875999,191.221011
-1310.365967,156.875999,184.183104
-1310.365967,171.875999,183.557632
-1310.365967,186.875999,177.468271
-1310.365967,201.875999,175.124036
-1310.365967,216.875999,167.143392
-1310.365967,231.875999,157.394053
-1310.365967,246.875999,155.547627
-1310.365967,261.875999,151.448797
-1310.365967,276.875999,135.492015
-1310.365967,291.875999,123.460639
-1310.365967,306.875999,110.265251
-1310.365967,321.875999,101.247438
